Horodateur	Consommez-vous de l'alcool ?	Quel type d'alcool ?	A quelle fréquence ?	Quelle est votre tranche d'âge ?	A quelle catégorie de population pensez-vous appartenir ?	Possédez-vous une cave à vin ?	Combien de bouteilles peut-elle accueillir ?	Avez-vous déjà perdu ou oublié l'existence d'une de vos bouteilles ?	Utilisez-vous une application de gestion pour votre cave ?	Utilisez-vous un cahier pour gérer votre cave ?	Pensez-vous que l'utilisation d'une application gérant votre cave de manière automatique pourrait vous aider ?	Aimeriez-vous pouvoir retrouver une bouteille sans avoir à fouiller dans toute votre cave ?	Avez-vous de bonnes connaissances en vin ?	Selon vous quel est votre niveau en œnologie ?	Aimeriez-vous avoir des recommandations de vins en fonction de vous, vos goûts, vos habitudes etc ?	Aimeriez-vous avoir des recommandations de vins en fonctions des plats que vous allez servir lors d'un repas ?	Aimeriez-vous en apprendre d'avantage sur les vins que vous consommez ?	Sur quel type d'appareil souhaiteriez-vous utiliser cette application ?	Pour avoir cette application quel prix seriez-vous prêt à dépenser chaque mois pour cette application ?	Une version gratuite avec des options supplémentaires en version payante vous conviendrait-elle ?	Auriez-vous des remarques à ajouter ?
0	15/12/2021 11:16:34	Non	Aucun	0	18 - 25 ans	Etudiant	Non	0.0	Non	Non	Non	Oui	Oui	Non	0.0	Oui	Oui	Oui	Téléphone (iPhone ou Android indifféremment), ...	5 - 10 €	Oui	NaN
1	15/12/2021 11:19:23	Oui	Vin effervescent (Champagne, Clairette de Die,...	2	18 - 25 ans	Etudiant	Non	NaN	Oui	Non	Non	Oui	Oui	Non	1.0	Oui	Oui	Oui	Téléphone (iPhone ou Android indifféremment), ...	Gratuit, - de 5€	Oui	NaN
2	15/12/2021 11:20:29	Oui	Bière	1	18 - 25 ans	Etudiant	Non	NaN	Non	Non	Non	Non	Oui	Non	0.0	Non	Oui	Oui	Téléphone (iPhone ou Android indifféremment)	Gratuit	Oui	NaN
3	15/12/2021 11:24:25	Non	Aucun	0	18 - 25 ans	Etudiant	Non	0.0	Non	Non	Non	Non	Non	Non	0.0	Non	Oui	Non	Téléphone (iPhone ou Android indifféremment), ...	Gratuit, - de 5€	Oui	NaN
4	15/12/2021 11:24:31	Oui	Vin effervescent (Champagne, Clairette de Die,...	1	18 - 25 ans	Etudiant	Non	0.0	Non	Non	Non	Oui	Oui	Non	2.0	Non	Oui	Oui	Téléphone (iPhone ou Android indifféremment), ...	Gratuit, - de 5€	Non	Non
5	15/12/2021 11:27:30	Oui	Bière, Alcool fort, Liqueur, Cidre	3	18 - 25 ans	Etudiant	Non	NaN	Non	Non	Non	Oui	Oui	Non	1.0	Oui	Oui	Oui	Téléphone (iPhone ou Android indifféremment), ...	Gratuit, - de 5€	Oui	NaN
6	15/12/2021 11:32:41	Non	Aucun	0	18 - 25 ans	Employé	Non	NaN	Non	Non	Non	Non	Non	Non	0.0	Non	Non	Non	Tablette, La cave (directement intégré dans la...	Gratuit	Oui	NaN
7	15/12/2021 11:32:57	Non	Aucun	0	18 - 25 ans	Etudiant	Non	0.0	Oui	Non	Non	Oui	Oui	Non	0.0	Oui	Oui	Oui	Téléphone (iPhone ou Android indifféremment), ...	- de 5€	Oui	NaN
8	15/12/2021 11:33:18	Non	Aucun	0	18 - 25 ans	Etudiant	Non	NaN	Non	Non	Non	Oui	Non	Non	1.0	Oui	Oui	Oui	Téléphone (iPhone ou Android indifféremment), ...	Gratuit	Oui	NaN
9	15/12/2021 11:47:46	Oui	Bière, Alcool fort, Liqueur	1	18 - 25 ans	Etudiant	Non	NaN	Non	Non	Non	Non	Oui	Non	0.0	Oui	Oui	Oui	Téléphone (iPhone ou Android indifféremment), ...	+ 15 €	Oui	NaN
10	15/12/2021 11:53:29	Non	Aucun	0	18 - 25 ans	Etudiant	Non	NaN	Non	Non	Non	Non	Non	Non	0.0	Non	Non	Non	Téléphone (iPhone ou Android indifféremment)	Gratuit	Oui	NaN
11	15/12/2021 12:04:45	Oui	Vin, Vin effervescent (Champagne, Clairette de...	1	18 - 25 ans	Etudiant	Non	NaN	Oui	Non	Non	Oui	Oui	Non	1.0	Oui	Oui	Oui	Téléphone (iPhone ou Android indifféremment), ...	Gratuit	Oui	NaN
12	15/12/2021 12:07:18	Oui	Vin, Vin effervescent (Champagne, Clairette de...	1	18 - 25 ans	Etudiant	Oui	50.0	Non	Non	Non	Oui	Oui	Oui	9.0	Oui	Oui	Oui	Téléphone (iPhone ou Android indifféremment), ...	5 - 10 €	Non	NaN
13	15/12/2021 12:13:48	Oui	Vin, Vin effervescent (Champagne, Clairette de...	3	18 - 25 ans	Etudiant	Oui	50.0	Non	Non	Non	Non	Non	Oui	3.0	Oui	Oui	Oui	Téléphone (iPhone ou Android indifféremment)	Gratuit	Oui	NaN
14	15/12/2021 12:14:06	Oui	Vin, Vin effervescent (Champagne, Clairette de...	6	18 - 25 ans	Etudiant	Non	NaN	Non	Non	Non	Non	Oui	Non	2.0	Oui	Oui	Oui	Téléphone (iPhone ou Android indifféremment)	Gratuit	Oui	NaN
